base_score,[481.66271489]
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.221]",35.27860967528262
"(0.221, 0.553]",-2.2784652041923255
"(0.553, 0.983]",-24.847817910702947
"(0.983, 1.0]",-9.988191123215406
"(1.0, inf]",-43.68454347383443
age,Score
"(-inf, 34.0]",-5.104357674407211
"(34.0, 52.0]",-2.8349488027084058
"(52.0, 61.0]",1.532538654493642
"(61.0, 74.0]",8.896453152171773
"(74.0, inf]",16.25191938471809
DebtRatio,Score
"(-inf, 0.018]",37.112124096734824
"(0.018, 0.359]",1.3896015807119826
"(0.359, 1.458]",-8.639012140503507
"(1.458, inf]",4.355948023121754
MonthlyIncome,Score
"(-inf, 0.11]",20.11619198036929
"(0.11, 5600.0]",-3.3677497113293717
"(5600.0, inf]",3.254104931426043
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",-6.133495255059223
"(1.0, 3.0]",-2.386176333806725
"(3.0, 5.0]",-0.5459771504183949
"(5.0, 17.0]",0.9712450069731509
"(17.0, inf]",3.0521887128603167
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",5.790749595493202
"(0.0, 1.0]",-14.490430450382958
"(1.0, 2.0]",-22.13371647451412
"(2.0, inf]",-24.603357718640986
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",3.8670215296945445
"(0.0, 1.0]",-28.833271783611774
"(1.0, 2.0]",-36.319895332230395
"(2.0, inf]",-39.03135560458242
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-10.573014941548545
"(0.0, 1.0]",4.95027781347055
"(1.0, 2.0]",17.314514100875225
"(2.0, inf]",7.1405569147285775
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",1.0508502377606226
"(0.0, 1.0]",-11.73652402570209
"(1.0, 2.0]",-14.211453269716385
"(2.0, inf]",-15.451949461453994
NumberOfDependents,Score
"(-inf, 0.0]",15.992859807081095
"(0.0, 1.0]",-12.486192887189551
"(1.0, 2.0]",-12.925005530340513
"(2.0, inf]",-11.748592831947699
